1.76417,0.01277133,0.720706,0.4563094
1.07104,0.03951567,0.4794284,0.2847091
1.155262,0.04096493,0.4661857,0.264937
1.321409,0.03296262,0.5303569,0.3677782
1.307816,0.02586787,0.8669388,0.5161193
1.044043,0.03587114,0.7779609,0.3190104
0.9191184,0.0207698,0.2698626,0.04954831
1.252316,0.01221681,0.8431798,0.4308064
0.8197922,0.01800344,0.3013896,0.08296432
1.447523,0.03706141,0.5830605,0.2103103
1.349804,0.02098433,0.8005373,0.5071739
1.002602,0.02053413,0.6241765,0.4181985
1.237725,0.03045117,0.7456843,0.4874436
0.9039193,0.0506121,0.4518065,0.2431941
1.126705,0.03836334,0.5729464,0.3297597
1.098631,0.03315658,0.9425759,0.4146644
1.05837,0.02380385,0.4339517,0.1764005
0.9734739,0.04830728,0.4823132,0.3173869
1.155099,0.03021934,0.5032569,0.3413407
1.127452,0.02545911,0.5758171,0.361617
